,Buy Dates,Sell Dates,Buy Prices,Sell Prices,Trade Reward,Trade Win,Trade Efficiency,Grad at Buy,Grad at Sell,Grad Difference
0,2020-01-10 18:00:00,2020-01-11 18:00:00,8056.407840673827,8092.316211328124,200.89142385451265,0.8914238545126523,0.004457119272563262,-4.725149254162147,0.16122989270925814,4.8863791468714055
1,2020-01-13 18:00:00,2020-01-15 18:00:00,8159.626720019531,8710.168962304688,214.4458692647871,13.55444541027444,0.06747149853490356,-6.665266445037261,19.68252830307972,26.347794748116982
2,2020-01-20 18:00:00,2020-01-22 18:00:00,8703.297438867186,8635.120273828124,212.76601039250272,-1.6798588722843704,-0.007833486735107796,-25.81040618313267,-19.75849930589331,6.051906877239361
3,2020-01-23 18:00:00,2020-01-30 18:00:00,8372.61858691406,9450.361622460938,240.15374859187665,27.387738199373928,0.12872233750517792,-25.732715377719956,30.750972745724454,56.48368812344441
4,2020-02-04 18:00:00,2020-02-06 18:00:00,9215.028143261718,9684.722914453125,252.39450990502598,12.240761313149335,0.050970519448154,-18.503675340304966,10.051720576682357,28.555395916987322
5,2020-02-08 18:00:00,2020-02-09 18:00:00,9854.609009765623,10013.333227734374,256.4597266137338,4.065216708707794,0.01610659720862194,2.761747055638864,5.649833635069115,2.888086579430251
6,2020-02-11 18:00:00,2020-02-12 18:00:00,10167.8546390625,10278.565528710937,259.2521430575451,2.7924164438113053,0.010888323405323974,-4.02902632452404,8.307033569052322,12.336059893576362
7,2020-02-16 18:00:00,2020-02-19 18:00:00,9843.81706142578,10121.4838265625,266.5649266524004,7.312783594855318,0.028207225246474166,-32.141182431154675,5.979389396829106,38.12057182798378
8,2020-02-21 18:00:00,2020-02-23 18:00:00,9737.208007910156,9833.696578125,269.20638903270697,2.6414623803065638,0.009909264558840556,-19.583788320763915,2.5361792448162532,22.11996756558017
9,2020-02-26 18:00:00,2020-03-03 18:00:00,8823.55337578125,8684.136919335937,264.9527964931758,-4.253592539531155,-0.01580048881757546,-29.460584140170766,26.201698684790628,55.662282824961395
10,2020-03-04 18:00:00,2020-03-06 18:00:00,8771.298759960937,9045.15702890625,273.22517623824376,8.272379745067951,0.031222088819436247,21.548246103128207,37.79004598458653,16.24179988145832
11,2020-03-09 18:00:00,2020-03-11 18:00:00,7786.559672753906,7725.586646777343,271.0856734965492,-2.139502741694571,-0.007830547576732065,-37.710228699716126,-13.03833856755567,24.671890132160456
12,2020-03-13 18:00:00,2020-03-20 18:00:00,5039.4197144531245,6242.9621625,335.82787271737334,64.74219922082415,0.23882560220080493,-111.64831133599255,103.41837659080932,215.06668792680188
13,2020-03-23 18:00:00,2020-03-24 18:00:00,6293.238634570312,6622.449663867187,353.3956539606498,17.567781243276443,0.05231186173180202,42.38415493304075,52.20712723304558,9.822972300004835
14,2020-03-29 17:00:00,2020-03-31 17:00:00,6142.723324218749,6408.761391210937,368.7010310223927,15.305377061742945,0.043309466005620946,-26.758467263491013,-1.9381610693660036,24.82030619412501
15,2020-04-01 17:00:00,2020-04-03 17:00:00,6237.840652001953,6692.6642466796875,395.58436095118344,26.883329928790715,0.0729136282972802,-8.393057553535044,20.070196774169034,28.463254327704078
16,2020-04-05 17:00:00,2020-04-07 17:00:00,6808.980449267578,7296.994527539062,423.9367315779742,28.35237062679073,0.07167212211983658,-4.5845767817869785,14.38094083608452,18.965517617871498
17,2020-04-11 17:00:00,2020-04-13 17:00:00,6822.970610449218,6729.532929492188,418.13109832337904,-5.805633254595136,-0.013694574737568625,-37.98988107029335,-20.185506335300907,17.804374734992443
18,2020-04-14 17:00:00,2020-04-18 17:00:00,6954.68938095703,7200.220067578125,432.8929388665499,14.761840543170877,0.03530433541624353,-20.258492061039185,7.851567955360569,28.110060016399753
19,2020-04-21 17:00:00,2020-04-24 17:00:00,6914.624309472656,7512.059737792968,470.2956330366833,37.40269417013337,0.08640171925202894,-17.17064717721853,19.787371341141657,36.95801851836019
20,2020-04-28 17:00:00,2020-04-30 17:00:00,7805.80232680664,8566.339494726562,516.1176118493536,45.821978812670295,0.0974322864041907,3.4694962604017974,38.574516879239454,35.105020618837656
21,2020-05-05 17:00:00,2020-05-08 17:00:00,8924.521116796874,9912.936833789063,573.2790833380861,57.16147148873256,0.11075280164129929,-20.962821337217065,17.787654348844057,38.75047568606112
22,2020-05-11 17:00:00,2020-05-15 17:00:00,8581.511687695313,9433.865589257812,630.2197111843464,56.94062784626021,0.09932444685528496,-85.63281568369632,18.443014372872966,104.07583005656929
23,2020-05-16 17:00:00,2020-05-18 17:00:00,9378.260891601562,9565.15243359375,642.7788343499848,12.559123165638425,0.01992816622957821,-0.20196657686193475,8.401872130720989,8.603838707582923
24,2020-05-22 17:00:00,2020-05-23 17:00:00,9221.355031933594,9142.587636328124,637.2883164644098,-5.4905178855749455,-0.008541846109676706,-29.514860279464273,-13.689781262288278,15.825079017175995
