,Tickers,Days_to_Exp,Price @ DtE,CPSP,Actual Price @ Expiry,Expected %Change,Actual %Change,Expected - Actual,MarketCap,Beta,1W %Change,50 Day MA,MA to TP %,Sharpe Ratio,30day Vol,95% VaR,predicted Direction
0,AAL,0,12.9399995803833,14.093685477870054,12.949999809265137,8.91565637479394,0.0772815240040349,8.838374850789906,6.596036096000001,1.7541799999999999,-2.116400171272128,12.490200004577638,-3.550577694669411,-8.004598828153878,4.232225399805618,-13.98,Correct
1,AAL,1,13.005000114440918,14.06704277923144,12.949999809265137,8.166417958053037,-0.4229166066266175,8.589334564679655,6.613835776,1.7541799999999999,-0.7251928569650182,12.48730001449585,-3.9807773578579817,-7.9574952365905185,4.23991782492108,-13.98,False
2,AAL,2,13.050000190734865,14.173824222095922,12.949999809265137,8.611678275368458,-0.7662864368440838,9.377964712212542,6.636721152000001,1.7541799999999999,0.0,12.488600006103516,-4.301917060736336,-7.916577332905949,4.312528871718608,-14.01,False
3,AAL,3,13.630000114440918,13.857184975494947,12.949999809265137,1.6668001404734252,-4.988997061381711,6.655797201855136,6.9316864,1.7541799999999999,0.29433378516489794,12.493999996185302,-8.334556923825918,-7.821662882950116,4.408780349912844,-13.96,False
4,AAL,4,13.609999656677244,13.889962815533195,12.949999809265137,2.0570401610450992,-4.84937446040495,6.906414621450049,6.921515008,1.75418,2.484939234499686,12.468999996185305,-8.383539230525647,,4.403062754014251,-13.99,False
5,AAPL,0,111.79000091552734,141.95280950071626,112.0,26.98166950368043,0.18785140240882486,26.793818101271604,1918.5584046079998,1.284838,-14.764075188441408,108.7554995727539,-2.8968753814697275,22.897723998364,2.8899117058525103,-5.68,Correct
6,AAPL,1,113.48999786376952,143.86831170781318,112.0,26.767393088251712,-1.3128891460180239,28.080282234269735,1940.96267264,1.284838,-15.419582606480608,108.33604949951172,-4.541323871064375,24.337897379798502,2.8386792183155367,-5.66,False
7,AAPL,2,117.31999969482422,142.75758773594734,112.0,21.682226480814887,-4.534605956923575,26.21683243773846,2006.46524928,1.284838,-9.082450558812974,107.89024948120115,-8.037632320279544,26.317654367229885,2.8091595388479966,-5.64,False
8,AAPL,3,112.81999969482422,149.48052909108205,112.0,32.49470793779809,-0.7268212170202988,33.22152915481839,1929.503965184,1.284838,-9.604793612526713,107.35274948120116,-4.845993820609683,24.30978906149858,2.636938817494682,-5.62,False
9,AAPL,4,120.95999908447266,156.33619477690002,112.0,29.246193750152333,-7.407406706588533,36.65360045674087,2068.718419968,1.284838,-3.2397432065830185,106.86449951171878,-11.653025528638015,,2.63835302217114,-5.51,False
10,AMD,0,76.27230072021484,82.49497181610721,76.33999633789062,8.158494023562527,0.08875517984452189,8.069738843718005,89.63948544,2.277034,-15.384620588574546,73.74119987487794,-3.4042397009165186,23.936556350838064,4.2521599819837,-7.76,Correct
11,AMD,1,78.9800033569336,83.01376471207772,76.33999633789062,5.107319807159772,-3.342627129441879,8.449946936601652,92.72726323200001,2.277034,-14.31980571115384,73.2659999847412,-7.23474693508069,25.938941111897787,4.234955836671782,-7.72,False
12,AMD,2,81.91000366210938,82.8528661276101,76.33999633789062,1.1510956212261547,-6.800155140019084,7.951250761245238,96.16726425600001,2.277034,-9.810610066785344,72.73859992980957,-11.196927508553383,27.80903970027677,4.212514243757386,-7.7,False
13,AMD,3,78.69000244140625,84.81745064003096,76.33999633789062,7.786819174630595,-2.9864100020399347,10.77322917667053,92.386787328,2.277034,-8.018702940549584,72.10599983215332,-8.367012841504843,28.096305977785182,4.199458742724446,-7.67,False
14,AMD,4,82.01000213623047,86.45331373413103,76.33999633789062,5.418011806071627,-6.913797891287874,12.331809697359501,96.284663808,2.277034,-2.1360392008837708,71.53419975280762,-12.77381064570761,,4.20130224384402,-7.63,False
15,AMZN,0,3109.889892578125,3314.818758365453,3116.219970703125,6.589585897442829,0.20354669598132658,6.386039201461502,1561.24905472,1.323857,-11.758059330019961,3178.8678076171873,2.010379161389136,33.2712656318921,2.508458336094321,-4.44,Correct
16,AMZN,1,3175.110107421875,3343.3084682005683,3116.219970703125,5.2974024549739775,-1.8547431341386644,7.152145589112642,1590.3808552960002,1.323857,-9.259756707810752,3174.1174072265626,-0.03126506362698903,34.08169909210304,2.4915330828808337,-4.42,False
17,AMZN,2,3268.610107421875,3364.7638374370345,3116.219970703125,2.941731404330784,-4.66223048055579,7.603961884886574,1637.214060544,1.323857,-5.2840327207414814,3165.7916064453125,-3.1456336974268515,36.39888461979415,2.4488735308447622,-4.4,False
18,AMZN,3,3149.840087890625,3429.53939082174,3116.219970703125,8.879793739574358,-1.0673594928437975,9.947153232418156,1577.7233633279998,1.323857,-7.406665804014461,3154.027001953125,0.13292465476568968,32.746842740590445,2.3757452862906816,-4.4,False
19,AMZN,4,3294.6201171875,3482.9562664715804,3116.219970703125,5.71647542311665,-5.414892768780543,11.131368191897193,1650.242224128,1.323857,-3.0994083180147056,3144.8876025390623,-4.544758100252816,,2.347446551599946,-4.33,False
20,ATVI,0,78.04499816894531,81.51940515610626,77.97000122070312,4.451799690788435,-0.09609449676690407,4.547894187555339,60.182859776,0.678372,-6.566801591302508,81.31939956665039,4.295752588827599,18.015729563296407,2.062320464271638,-4.86,False
21,ATVI,1,79.08999633789062,81.49544363040211,77.97000122070312,3.0414052394627245,-1.4161021229570219,4.457507362419746,61.047353343999994,0.678372,-5.088210008395722,81.32059951782226,2.8203354194151,19.66734079773659,2.060877318067457,-4.84,False
