,Tickers,Days_to_Exp,Price @ DtE,CPSP,Actual Price @ Expiry,Expected %Change,Actual %Change,Expected - Actual,MarketCap,Beta,1W %Change,50 Day MA,MA to TP %,Sharpe Ratio,30day Vol,95% VaR,predicted Direction
0,AAL,0,12.9399995803833,14.093685477870054,12.949999809265135,8.91565637479394,0.0772815240040349,8.838374850789906,6.596036096000001,1.7541799999999999,-2.116400171272128,12.490200004577638,-3.550577694669411,-8.004598828153878,4.232225399805618,-13.98,Correct
1,AAL,1,13.005000114440918,14.06704277923144,12.949999809265135,8.166417958053037,-0.4229166066266175,8.589334564679655,6.613835776,1.7541799999999999,-0.7251928569650182,12.48730001449585,-3.9807773578579817,-7.9574952365905185,4.23991782492108,-13.98,False
2,AAL,2,13.050000190734865,14.173824222095922,12.949999809265135,8.611678275368456,-0.7662864368440838,9.377964712212544,6.636721152000001,1.7541799999999999,0.0,12.488600006103516,-4.301917060736336,-7.916577332905949,4.312528871718608,-14.01,False
3,AAL,3,13.630000114440918,13.857184975494947,12.949999809265135,1.6668001404734252,-4.988997061381711,6.655797201855136,6.9316864,1.7541799999999999,0.29433378516489794,12.493999996185302,-8.334556923825918,-7.8216628829501165,4.408780349912844,-13.96,False
4,AAL,4,13.609999656677244,13.889962815533195,12.949999809265135,2.0570401610450992,-4.849374460404951,6.906414621450049,6.921515008,1.75418,2.484939234499686,12.468999996185305,-8.383539230525647,,4.403062754014251,-13.99,False
5,AAPL,0,111.79000091552734,141.95280950071626,112.0,26.98166950368043,0.18785140240882486,26.793818101271604,1918.5584046079998,1.284838,-14.764075188441408,108.7554995727539,-2.8968753814697275,22.897723998364,2.8899117058525103,-5.68,Correct
6,AAPL,1,113.48999786376952,143.86831170781318,112.0,26.76739308825171,-1.312889146018024,28.080282234269728,1940.96267264,1.284838,-15.419582606480608,108.33604949951172,-4.541323871064375,24.337897379798502,2.8386792183155367,-5.66,False
7,AAPL,2,117.31999969482422,142.75758773594734,112.0,21.682226480814887,-4.534605956923575,26.21683243773846,2006.46524928,1.284838,-9.082450558812974,107.89024948120115,-8.037632320279544,26.317654367229885,2.8091595388479966,-5.64,False
8,AAPL,3,112.81999969482422,149.48052909108205,112.0,32.49470793779809,-0.7268212170202988,33.22152915481839,1929.503965184,1.284838,-9.604793612526713,107.35274948120116,-4.845993820609683,24.30978906149858,2.636938817494682,-5.62,False
9,AAPL,4,120.95999908447266,156.33619477690002,112.0,29.24619375015233,-7.407406706588532,36.65360045674087,2068.718419968,1.284838,-3.2397432065830185,106.86449951171879,-11.653025528638015,,2.63835302217114,-5.51,False
10,AMD,0,76.27230072021484,82.49497181610721,76.33999633789062,8.158494023562527,0.08875517984452189,8.069738843718005,89.63948544,2.277034,-15.384620588574546,73.74119987487794,-3.4042397009165186,23.936556350838064,4.2521599819837,-7.76,Correct
